SPEC,HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
01,98975,,N,368.5,374.17,388.3,316.79
01,98975,,Y,1.75,1.82,2.03,1.5
02,98975,,N,13.5,13.44,13.22,10.77
02,98975,,Y,4.5,4.41,4.08,5.06
03,98975,,N,20,21.07,24.69,15.7
03,98975,,Y,0.25,0.25,0.27,0.23
04,98975,,N,1.75,1.7,1.56,1.48
05,98975,,N,122.75,122.75,123.65,133.9
05,98975,,Y,14.5,14.22,13.49,10.66
06,98975,,N,5028.75,5090.73,5299.82,5242.65
06,98975,,Y,83.25,86.61,97.2,58.79
07,98975,,N,0.75,0.77,0.8,0.89
08,98975,,N,4675.5,4687.36,4749.23,4618.78
08,98975,,Y,277.75,284.16,306.07,228.61
09,98975,,N,246,244.42,247.43,346.07
10,98975,,N,632.5,626.33,621.39,535.79
10,98975,,Y,2,1.99,1.97,2.19
11,98975,,N,9688.5,9837.89,10246.58,11295.76
11,98975,,Y,205.25,211,231.68,165.53
12,98975,,N,67,65.88,63.84,94.04
13,98975,,N,87.25,87.51,88.57,81.36
13,98975,,Y,0.25,0.24,0.23,0.12
14,98975,,N,6.25,6.01,5.56,5.21
16,98975,,N,64.5,64.06,62.71,52
17,98975,,N,2.75,2.77,2.89,3.42
18,98975,,N,9.25,9.16,8.96,9.01
18,98975,,Y,1,0.98,0.91,1.06
20,98975,,N,417,420.02,431.01,326.55
20,98975,,Y,4.75,4.84,5.25,3.03
21,98975,,N,646,647.61,660.07,574.74
21,98975,,Y,18,17.69,16.42,18.97
22,98975,,N,25.5,25.69,26.17,23.17
23,98975,,N,11.5,11.77,12.74,8.47
25,98975,,N,194,201.48,224.09,174.12
25,98975,,Y,0.5,0.52,0.56,0.51
26,98975,,N,137.25,138.83,145.88,100.46
26,98975,,Y,0.5,0.49,0.46,0.53
28,98975,,N,1.25,1.25,1.27,0.41
29,98975,,N,775.75,780.07,796.94,876.09
29,98975,,Y,1.5,1.5,1.52,2.05
30,98975,,N,13.75,13.97,14.25,6.72
31,98975,,N,18.5,17.96,16.8,13.99
33,98975,,N,8,7.87,7.57,8.56
34,98975,,N,242,251.31,271.74,247.35
37,98975,,N,55.5,54.45,53.4,47.45
38,98975,,N,116,118.43,125.24,112.41
