HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
99091,,N,167,166.11,161.36,130.87
99091,,Y,4,3.95,3.8,3.04
99091,,N,129,129.11,124.5,147.76
99091,,N,103,100.84,102.9,186.94
99091,,Y,1,0.97,0.91,0.76
99091,,N,7509,7796.74,8627.75,6113.26
99091,,Y,19,18.47,18.11,27.51
99091,,N,7002,6938.7,6801.43,6885.31
99091,,Y,356,351.73,338.28,269.35
99091,,N,7,7.39,8.48,16.15
99091,,N,12866,13005.66,13320.87,11451.55
99091,,Y,589,585.71,586.79,307.97
99091,,N,1936,1954.29,2012.26,1449.99
99091,,N,183,187.71,197.36,183.6
99091,,Y,1,0.98,0.96,0.85
99091,,N,22,22.61,24.06,23.35
99091,,N,132,130.77,130.4,171.41
99091,,Y,4,4.22,4.74,3.98
99091,,N,5997,6113.85,6098.4,3836.93
99091,,Y,5,5.04,4.69,2.97
99091,,N,17,18.44,22.74,16.73
99091,,N,1715,1855.63,2356.41,775.18
99091,,Y,176,190.43,241.82,79.55
99091,,N,6627,6658.62,6825.68,7333.29
99091,,Y,12,11.85,11.56,9.06
99091,,N,918,906.98,872.1,696.76
99091,,N,1,1.06,1.21,2.31
99091,,N,4,4.18,4.57,5.85
99091,,N,12,11.77,11.56,10.26
99091,,Y,2,2.16,2.75,0.9
99091,,N,289,300.61,325.65,321.73
99091,,Y,250,247.07,237.74,189.99
99091,,N,579,577.31,576.08,635.57
99091,,N,740,736.08,737.45,637.98
99091,,Y,156,155.51,157.15,103.39
99091,,N,3,3.08,3.32,2.19
99091,,N,3922,3852.34,3695.79,3426.96
99091,,Y,48,47.3,45.75,47.48
99091,,N,1,0.98,0.96,0.94
99091,,N,40,39.14,38.18,55.99
99091,,N,20,19.76,19,15.18
99091,,N,3,2.95,2.74,3.19
99091,,N,288,300.45,339.16,208.83
99091,,N,1244,1256.78,1248.76,941.22
99091,,N,2731,2708.78,2681.18,2034.92
99091,,Y,5,4.97,4.96,2.67
99091,,N,190,197.12,214.21,193.7
99091,,N,33,33.76,33.53,38.08
99091,,N,5,4.82,4.38,5.72
99091,22,N,1,0.97,0.94,1.45
99091,25,N,1,1.04,1.18,0.72
99091,25,N,36,35.95,35.44,18.4
99091,25,Y,1,0.99,1,0.48
99091,25,N,27,26.71,25.91,23.17
99091,25,N,6,5.93,5.7,4.55
99091,52,N,418,208.16,207.33,349.03
