SPEC,HCPCS,MOD,FACILITY,"UNDISCOUNTED_
ALLOWED_SERVICES","WORK_ADJUSTED_
ALLOWED_SERVICES*","PE_ADJUSTED_
ALLOWED_SERVICES*","MP_ADJUSTED_
ALLOWED_SERVICES*"
01,99453,,N,1474,1496.69,1553.21,1267.16
01,99453,,Y,7,7.27,8.1,6.01
02,99453,,N,54,53.74,52.88,43.06
02,99453,,Y,18,17.62,16.33,20.22
03,99453,,N,80,84.3,98.76,62.8
03,99453,,Y,1,1.02,1.06,0.92
04,99453,,N,7,6.81,6.25,5.93
05,99453,,N,491,491,494.59,535.61
05,99453,,Y,58,56.89,53.95,42.63
06,99453,,N,20115,20362.91,21199.27,20970.58
06,99453,,Y,333,346.45,388.81,235.17
07,99453,,N,3,3.07,3.2,3.56
08,99453,,N,18702,18749.44,18996.9,18475.14
08,99453,,Y,1111,1136.64,1224.27,914.44
09,99453,,N,984,977.68,989.72,1384.26
10,99453,,N,2530,2505.32,2485.56,2143.16
10,99453,,Y,8,7.96,7.88,8.75
11,99453,,N,38754,39351.56,40986.33,45183.04
11,99453,,Y,821,843.99,926.73,662.12
12,99453,,N,268,263.52,255.38,376.17
13,99453,,N,349,350.04,354.27,325.43
13,99453,,Y,1,0.97,0.91,0.47
14,99453,,N,25,24.06,22.26,20.82
16,99453,,N,258,256.24,250.83,207.99
17,99453,,N,11,11.09,11.57,13.69
18,99453,,N,37,36.63,35.85,36.02
18,99453,,Y,4,3.93,3.65,4.25
20,99453,,N,1668,1680.09,1724.06,1306.22
20,99453,,Y,19,19.35,21.02,12.11
21,99453,,N,2584,2590.44,2640.28,2298.97
21,99453,,Y,72,70.77,65.69,75.89
22,99453,,N,102,102.75,104.67,92.66
23,99453,,N,46,47.07,50.95,33.87
25,99453,,N,776,805.93,896.36,696.46
25,99453,,Y,2,2.08,2.25,2.03
26,99453,,N,549,555.34,583.54,401.83
26,99453,,Y,2,1.97,1.82,2.13
28,99453,,N,5,4.99,5.09,1.63
29,99453,,N,3103,3120.28,3187.77,3504.35
29,99453,,Y,6,6,6.08,8.2
30,99453,,N,55,55.88,56.99,26.88
31,99453,,N,74,71.85,67.19,55.94
33,99453,,N,32,31.49,30.29,34.25
34,99453,,N,968,1005.25,1086.94,989.41
37,99453,,N,222,217.79,213.6,189.81
38,99453,,N,464,473.71,500.97,449.66
38,99453,,Y,62,61.76,61.61,101.27
39,99453,,N,4232,4259.52,4335.07,3897.74
39,99453,,Y,27,27.81,29.73,26.52
42,99453,,N,1,0.97,0.94,0.79
42,99453,,Y,1,1.04,1.2,0.87
44,99453,,N,20,19.94,19.8,28.16
44,99453,,Y,6,6.26,6.84,6.04
46,99453,,N,1809,1819.05,1870.22,1992.48
46,99453,,Y,5,5.19,5.63,4.5
47,99453,,N,14,15.15,19.24,6.33
48,99453,,N,895,897.34,915.44,765.26
50,99453,,N,9387,9356.42,9382.43,9828.53
50,99453,,Y,720,744.96,815.78,1286.7
65,99453,,N,3,3.01,3.44,1.85
66,99453,,N,234,240.06,256.51,234.17
66,99453,,Y,2,1.98,1.9,1.52
67,99453,,Y,1,1.04,1.18,0.72
72,99453,,N,548,543.62,538.89,577.98
72,99453,,Y,1,0.98,0.93,0.74
76,99453,,N,25,25.13,25.33,20.34
77,99453,,N,15,15.32,16.17,11.69
78,99453,,N,83,81.31,77.78,67.91
81,99453,,N,199,200.65,206.23,215.3
82,99453,,N,9,8.98,9.17,2.93
83,99453,,N,41,41.92,42.88,39.96
84,99453,,N,47,49.53,57.54,34.49
89,99453,,N,23,22.16,20.51,18.28
90,99453,,N,3,3.13,3.55,2.17
92,99453,,N,3,3.07,3.05,3.46
93,99453,,N,721,718.75,711.1,607.53
93,99453,,Y,24,25.51,30.09,29.5
97,99453,,N,1070,1078.63,1108.03,1330.74
97,99453,,Y,72,75.05,84.74,43.45
99,99453,,N,68,67.21,67.54,56.12
C0,99453,,N,526,519.14,514.77,463.18
C3,99453,,N,3194,3187.69,3189.97,3229.52
C6,99453,,N,343,353.06,381.54,551.67
C6,99453,,Y,7,6.92,6.65,5.31
C7,99453,,N,85,84.81,83.05,69.42
D4,99453,,N,15,14.68,14.98,27.22
01,99453,25,N,11,10.95,10.47,10.4
03,99453,25,N,1,1.08,1.37,0.45
05,99453,25,N,29,28.42,26.88,21.52
06,99453,25,N,69,68.75,69.33,60.72
06,99453,25,Y,1,1.04,1.18,0.72
08,99453,25,N,122,123.2,122.88,111.7
08,99453,25,Y,3,3.14,3.71,1.76
10,99453,25,N,12,11.45,10.24,5.9
11,99453,25,N,537,543.96,547.77,461.43
11,99453,25,Y,16,17.2,21.52,7.86
12,99453,25,N,1,1.06,1.21,2.06
20,99453,25,N,1,0.98,0.97,0.59
20,99453,25,Y,2,2.2,2.82,0.83
21,99453,25,N,29,30.06,32.28,28.23
25,99453,25,N,15,15.46,16.42,15.17
26,99453,25,N,2,2,2.05,1.36
29,99453,25,N,4,3.88,3.68,3.37
38,99453,25,N,2,1.98,1.93,2.46
39,99453,25,N,14,13.64,12.9,11.4
46,99453,25,N,7,7.22,7.85,6.47
48,99453,25,N,14,14.28,15.14,11.51
50,99453,25,N,62,60.85,58.59,45.1
50,99453,25,Y,4,3.94,3.93,1.93
81,99453,25,N,5,5.08,5.01,5.37
97,99453,25,N,2,2.02,2.12,2.83
20,99453,50,N,2,1.91,1.71,0.98
