SPEC,HCPCS,MOD,FACILITY
01,99091,,N
02,99091,,Y
04,99091,,N
05,99091,,N
05,99091,,Y
06,99091,,N
06,99091,,Y
08,99091,,N
08,99091,,Y
09,99091,,N
11,99091,,N
11,99091,,Y
13,99091,,N
14,99091,,N
14,99091,,Y
16,99091,,N
20,99091,,N
20,99091,,Y
21,99091,,N
21,99091,,Y
25,99091,,N
26,99091,,N
26,99091,,Y
29,99091,,N
29,99091,,Y
30,99091,,N
33,99091,,N
34,99091,,N
37,99091,,N
37,99091,,Y
39,99091,,N
39,99091,,Y
44,99091,,N
46,99091,,N
46,99091,,Y
48,99091,,N
50,99091,,N
50,99091,,Y
72,99091,,N
81,99091,,N
83,99091,,N
89,99091,,N
93,99091,,N
97,99091,,N
C0,99091,,N
C0,99091,,Y
C3,99091,,N
C6,99091,,N
C7,99091,,N
20,99091,22,N
06,99091,25,N
29,99091,25,N
46,99091,25,Y
50,99091,25,N
C0,99091,25,N
C0,99091,52,N
01,99453,,N
01,99453,,Y
02,99453,,N
02,99453,,Y
03,99453,,N
03,99453,,Y
04,99453,,N
05,99453,,N
05,99453,,Y
06,99453,,N
06,99453,,Y
07,99453,,N
08,99453,,N
08,99453,,Y
09,99453,,N
10,99453,,N
10,99453,,Y
11,99453,,N
11,99453,,Y
12,99453,,N
13,99453,,N
13,99453,,Y
14,99453,,N
16,99453,,N
17,99453,,N
18,99453,,N
18,99453,,Y
20,99453,,N
20,99453,,Y
21,99453,,N
21,99453,,Y
22,99453,,N
23,99453,,N
25,99453,,N
25,99453,,Y
26,99453,,N
26,99453,,Y
28,99453,,N
29,99453,,N
29,99453,,Y
30,99453,,N
31,99453,,N
33,99453,,N
34,99453,,N
37,99453,,N
38,99453,,N
38,99453,,Y
39,99453,,N
39,99453,,Y
42,99453,,N
42,99453,,Y
44,99453,,N
44,99453,,Y
46,99453,,N
46,99453,,Y
47,99453,,N
48,99453,,N
50,99453,,N
50,99453,,Y
65,99453,,N
66,99453,,N
66,99453,,Y
67,99453,,Y
72,99453,,N
72,99453,,Y
76,99453,,N
77,99453,,N
78,99453,,N
81,99453,,N
82,99453,,N
83,99453,,N
84,99453,,N
89,99453,,N
90,99453,,N
92,99453,,N
93,99453,,N
93,99453,,Y
97,99453,,N
97,99453,,Y
99,99453,,N
C0,99453,,N
C3,99453,,N
C6,99453,,N
C6,99453,,Y
C7,99453,,N
D4,99453,,N
01,99453,25,N
03,99453,25,N
05,99453,25,N
06,99453,25,N
06,99453,25,Y
08,99453,25,N
08,99453,25,Y
10,99453,25,N
11,99453,25,N
11,99453,25,Y
12,99453,25,N
20,99453,25,N
20,99453,25,Y
21,99453,25,N
25,99453,25,N
26,99453,25,N
29,99453,25,N
38,99453,25,N
39,99453,25,N
46,99453,25,N
48,99453,25,N
50,99453,25,N
50,99453,25,Y
81,99453,25,N
97,99453,25,N
20,99453,50,N
01,99454,,N
01,99454,,Y
02,99454,,N
02,99454,,Y
03,99454,,N
03,99454,,Y
04,99454,,N
05,99454,,N
05,99454,,Y
06,99454,,N
06,99454,,Y
08,99454,,N
08,99454,,Y
09,99454,,N
10,99454,,N
10,99454,,Y
11,99454,,N
11,99454,,Y
12,99454,,N
13,99454,,N
13,99454,,Y
14,99454,,N
14,99454,,Y
16,99454,,N
17,99454,,N
18,99454,,N
18,99454,,Y
20,99454,,N
20,99454,,Y
21,99454,,N
21,99454,,Y
22,99454,,N
23,99454,,N
25,99454,,N
25,99454,,Y
26,99454,,N
26,99454,,Y
27,99454,,N
28,99454,,N
29,99454,,N
29,99454,,Y
30,99454,,N
31,99454,,N
33,99454,,N
34,99454,,N
37,99454,,N
38,99454,,N
38,99454,,Y
39,99454,,N
39,99454,,Y
42,99454,,Y
44,99454,,N
44,99454,,Y
46,99454,,N
46,99454,,Y
47,99454,,N
48,99454,,N
50,99454,,N
50,99454,,Y
65,99454,,N
66,99454,,N
66,99454,,Y
72,99454,,N
72,99454,,Y
76,99454,,N
77,99454,,N
78,99454,,N
81,99454,,N
81,99454,,Y
82,99454,,N
83,99454,,N
84,99454,,N
89,99454,,N
90,99454,,N
92,99454,,N
93,99454,,N
93,99454,,Y
94,99454,,N
94,99454,,Y
97,99454,,N
97,99454,,Y
98,99454,,N
99,99454,,N
99,99454,,Y
C0,99454,,N
C0,99454,,Y
C3,99454,,N
C3,99454,,Y
C6,99454,,N
C6,99454,,Y
